silo_name,treatment_time,time,mean_outcome,mean_outcome_residualized,covariates,date_format,freq
64,1996,1989,0.372881355932203,0.159420289855072,asian;black;male,yyyy,1 year
64,1996,1990,0.410714285714286,0.208463504686169,asian;black;male,yyyy,1 year
64,1996,1991,0.451612903225806,0.226958525345622,asian;black;male,yyyy,1 year
64,1996,1992,0.410958904109589,0.140806636467827,asian;black;male,yyyy,1 year
64,1996,1993,0.365384615384615,0.150877645844089,asian;black;male,yyyy,1 year
64,1996,1994,0.425925925925926,0.197887418104025,asian;black;male,yyyy,1 year
64,1996,1995,0.365853658536585,0.111681643132221,asian;black;male,yyyy,1 year
64,1996,1996,0.477272727272727,0.0780346820809248,asian;black;male,yyyy,1 year
64,1996,1997,0.375,0.205405405405405,asian;black;male,yyyy,1 year
64,1996,1998,0.37037037037037,0.255360623781676,asian;black;male,yyyy,1 year
64,1996,1999,0.447368421052632,0.170615653524956,asian;black;male,yyyy,1 year
64,1996,2000,0.5,0.189236111111111,asian;black;male,yyyy,1 year
