silo_name,treatment_time,time,mean_outcome,mean_outcome_residualized,covariates,date_format,freq
59,1997,1989,0.338383838383838,0.153839149266377,asian;black;male,yyyy,1 year
59,1997,1990,0.377906976744186,0.185157379031845,asian;black;male,yyyy,1 year
59,1997,1991,0.447058823529412,0.228392481101861,asian;black;male,yyyy,1 year
59,1997,1992,0.383333333333333,0.187004662004662,asian;black;male,yyyy,1 year
59,1997,1993,0.388888888888889,0.195354594437163,asian;black;male,yyyy,1 year
59,1997,1994,0.335766423357664,0.165344335131704,asian;black;male,yyyy,1 year
59,1997,1995,0.361111111111111,0.16275151154723,asian;black;male,yyyy,1 year
59,1997,1996,0.336065573770492,0.16081247751683,asian;black;male,yyyy,1 year
59,1997,1997,0.456692913385827,0.274603407189185,asian;black;male,yyyy,1 year
59,1997,1998,0.333333333333333,0.17046818727491,asian;black;male,yyyy,1 year
59,1997,1999,0.386075949367089,0.170570838952893,asian;black;male,yyyy,1 year
59,1997,2000,0.470588235294118,0.283136398664269,asian;black;male,yyyy,1 year
