silo_name,treatment_time,time,mean_outcome,mean_outcome_residualized,covariates,date_format,freq
73,control,1989,0.404255319148936,NA,none,yyyy,1 year
73,control,1990,0.321428571428571,NA,none,yyyy,1 year
73,control,1991,0.488888888888889,NA,none,yyyy,1 year
73,control,1992,0.568181818181818,NA,none,yyyy,1 year
73,control,1993,0.418604651162791,NA,none,yyyy,1 year
73,control,1994,0.477272727272727,NA,none,yyyy,1 year
73,control,1995,0.428571428571429,NA,none,yyyy,1 year
73,control,1996,0.490196078431373,NA,none,yyyy,1 year
73,control,1997,0.306122448979592,NA,none,yyyy,1 year
73,control,1998,0.355555555555556,NA,none,yyyy,1 year
73,control,1999,0.377358490566038,NA,none,yyyy,1 year
73,control,2000,0.534883720930233,NA,none,yyyy,1 year
